"Stock","yr","ct","bt"
"Decapterus macarellus_zBRT_Non-informative",2000,1864,NA
"Decapterus macarellus_zBRT_Non-informative",2001,1379,NA
"Decapterus macarellus_zBRT_Non-informative",2002,2232,NA
"Decapterus macarellus_zBRT_Non-informative",2003,1830,NA
"Decapterus macarellus_zBRT_Non-informative",2004,1741,NA
"Decapterus macarellus_zBRT_Non-informative",2005,2181,NA
"Decapterus macarellus_zBRT_Non-informative",2006,2627,NA
"Decapterus macarellus_zBRT_Non-informative",2007,2855,NA
"Decapterus macarellus_zBRT_Non-informative",2008,2387,NA
"Decapterus macarellus_zBRT_Non-informative",2009,1771,NA
"Decapterus macarellus_zBRT_Non-informative",2010,1749,NA
"Decapterus macarellus_zBRT_Non-informative",2011,2163,NA
"Decapterus macarellus_zBRT_Non-informative",2012,2643,NA
"Decapterus macarellus_zBRT_Non-informative",2013,2214,NA
"Decapterus macarellus_zBRT_Non-informative",2014,151,NA
"Decapterus macarellus_zBRT_Non-informative",2015,644,NA
